Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120
108159_LUL_LowSR.mutect2.filtered	(-60, 187)	(-59, 4)	(-58, 5)	(-57, 4)	(-56, 1)	(-55, 4)	(-54, 1)	(-53, 3)	(-52, 8)	(-51, 1)	(-50, 6)	(-49, 6)	(-48, 4)	(-47, 1)	(-46, 4)	(-45, 7)	(-44, 6)	(-43, 6)	(-42, 10)	(-41, 7)	(-40, 6)	(-39, 9)	(-38, 7)	(-37, 8)	(-36, 13)	(-35, 12)	(-34, 8)	(-33, 12)	(-32, 23)	(-31, 22)	(-30, 36)	(-29, 17)	(-28, 23)	(-27, 30)	(-26, 36)	(-25, 26)	(-24, 47)	(-23, 41)	(-22, 48)	(-21, 67)	(-20, 74)	(-19, 89)	(-18, 108)	(-17, 128)	(-16, 174)	(-15, 238)	(-14, 246)	(-13, 286)	(-12, 440)	(-11, 445)	(-10, 658)	(-9, 988)	(-8, 1332)	(-7, 1771)	(-6, 2917)	(-5, 4320)	(-4, 7987)	(-3, 11667)	(-2, 21786)	(-1, 23856)	(0, None)	(1, 21606)	(2, 20911)	(3, 10344)	(4, 7328)	(5, 3777)	(6, 2402)	(7, 1435)	(8, 980)	(9, 722)	(10, 489)	(11, 386)	(12, 389)	(13, 269)	(14, 240)	(15, 220)	(16, 170)	(17, 131)	(18, 130)	(19, 135)	(20, 114)	(21, 116)	(22, 75)	(23, 84)	(24, 87)	(25, 75)	(26, 66)	(27, 79)	(28, 54)	(29, 63)	(30, 63)	(31, 53)	(32, 60)	(33, 50)	(34, 39)	(35, 45)	(36, 39)	(37, 31)	(38, 34)	(39, 36)	(40, 42)	(41, 38)	(42, 28)	(43, 33)	(44, 23)	(45, 28)	(46, 30)	(47, 30)	(48, 30)	(49, 26)	(50, 20)	(51, 26)	(52, 19)	(53, 18)	(54, 20)	(55, 21)	(56, 19)	(57, 25)	(58, 29)	(59, 17)	(60, 610)
217788_LB89_LowSR.mutect2.filtered	(-60, 147)	(-59, 1)	(-58, 2)	(-57, 3)	(-56, 2)	(-55, 3)	(-54, 2)	(-53, 4)	(-52, 4)	(-50, 1)	(-49, 4)	(-48, 8)	(-47, 3)	(-46, 4)	(-45, 5)	(-44, 3)	(-43, 6)	(-42, 8)	(-41, 4)	(-40, 4)	(-39, 5)	(-38, 2)	(-37, 4)	(-36, 13)	(-35, 10)	(-34, 10)	(-33, 13)	(-32, 17)	(-31, 15)	(-30, 31)	(-29, 11)	(-28, 17)	(-27, 28)	(-26, 28)	(-25, 32)	(-24, 42)	(-23, 40)	(-22, 39)	(-21, 66)	(-20, 65)	(-19, 68)	(-18, 93)	(-17, 113)	(-16, 125)	(-15, 193)	(-14, 196)	(-13, 249)	(-12, 362)	(-11, 381)	(-10, 544)	(-9, 846)	(-8, 1085)	(-7, 1582)	(-6, 2503)	(-5, 3730)	(-4, 6856)	(-3, 10157)	(-2, 19028)	(-1, 20966)	(0, None)	(1, 18934)	(2, 18088)	(3, 9062)	(4, 6281)	(5, 3293)	(6, 2140)	(7, 1285)	(8, 888)	(9, 676)	(10, 452)	(11, 348)	(12, 330)	(13, 280)	(14, 210)	(15, 176)	(16, 144)	(17, 126)	(18, 117)	(19, 107)	(20, 89)	(21, 114)	(22, 76)	(23, 84)	(24, 86)	(25, 65)	(26, 54)	(27, 54)	(28, 62)	(29, 58)	(30, 74)	(31, 38)	(32, 56)	(33, 32)	(34, 39)	(35, 46)	(36, 29)	(37, 50)	(38, 24)	(39, 34)	(40, 28)	(41, 33)	(42, 37)	(43, 34)	(44, 30)	(45, 32)	(46, 25)	(47, 21)	(48, 25)	(49, 27)	(50, 31)	(51, 27)	(52, 28)	(53, 27)	(54, 23)	(55, 17)	(56, 24)	(57, 26)	(58, 29)	(59, 15)	(60, 546)	
220514_LUL_HighSR.mutect2.filtered	(-60, 92)	(-58, 2)	(-57, 1)	(-55, 1)	(-53, 2)	(-52, 4)	(-50, 3)	(-49, 1)	(-48, 9)	(-47, 1)	(-46, 3)	(-45, 4)	(-44, 2)	(-43, 1)	(-42, 8)	(-41, 3)	(-40, 2)	(-39, 3)	(-38, 6)	(-37, 2)	(-36, 6)	(-35, 5)	(-34, 4)	(-33, 4)	(-32, 8)	(-31, 4)	(-30, 15)	(-29, 9)	(-28, 10)	(-27, 15)	(-26, 10)	(-25, 15)	(-24, 17)	(-23, 19)	(-22, 18)	(-21, 30)	(-20, 30)	(-19, 26)	(-18, 47)	(-17, 46)	(-16, 64)	(-15, 86)	(-14, 97)	(-13, 103)	(-12, 174)	(-11, 154)	(-10, 253)	(-9, 309)	(-8, 440)	(-7, 663)	(-6, 1169)	(-5, 1590)	(-4, 3161)	(-3, 4572)	(-2, 8995)	(-1, 10438)	(0, None)	(1, 9209)	(2, 8280)	(3, 4002)	(4, 2843)	(5, 1461)	(6, 931)	(7, 553)	(8, 421)	(9, 295)	(10, 227)	(11, 218)	(12, 201)	(13, 124)	(14, 120)	(15, 101)	(16, 93)	(17, 78)	(18, 80)	(19, 64)	(20, 52)	(21, 67)	(22, 45)	(23, 40)	(24, 43)	(25, 41)	(26, 48)	(27, 41)	(28, 29)	(29, 42)	(30, 43)	(31, 25)	(32, 34)	(33, 32)	(34, 22)	(35, 35)	(36, 27)	(37, 22)	(38, 20)	(39, 17)	(40, 23)	(41, 23)	(42, 24)	(43, 13)	(44, 16)	(45, 19)	(46, 19)	(47, 16)	(48, 15)	(49, 9)	(50, 23)	(51, 22)	(52, 16)	(53, 10)	(54, 14)	(55, 10)	(56, 10)	(57, 9)	(58, 16)	(59, 6)	(60, 302)				
220578_LUL_LowSR.mutect2.filtered	(-60, 117)	(-59, 1)	(-58, 1)	(-57, 4)	(-56, 2)	(-55, 1)	(-54, 1)	(-53, 2)	(-52, 5)	(-51, 1)	(-50, 3)	(-49, 4)	(-48, 3)	(-47, 2)	(-46, 5)	(-45, 1)	(-44, 2)	(-43, 5)	(-42, 6)	(-41, 4)	(-40, 4)	(-39, 5)	(-38, 8)	(-37, 6)	(-36, 4)	(-35, 8)	(-34, 7)	(-33, 11)	(-32, 16)	(-31, 7)	(-30, 23)	(-29, 15)	(-28, 10)	(-27, 23)	(-26, 17)	(-25, 20)	(-24, 28)	(-23, 26)	(-22, 33)	(-21, 47)	(-20, 48)	(-19, 64)	(-18, 66)	(-17, 88)	(-16, 96)	(-15, 105)	(-14, 132)	(-13, 180)	(-12, 255)	(-11, 239)	(-10, 378)	(-9, 582)	(-8, 747)	(-7, 1053)	(-6, 1751)	(-5, 2457)	(-4, 4752)	(-3, 7008)	(-2, 13280)	(-1, 15061)	(0, None)	(1, 13455)	(2, 12478)	(3, 6116)	(4, 4392)	(5, 2203)	(6, 1454)	(7, 904)	(8, 626)	(9, 453)	(10, 321)	(11, 255)	(12, 235)	(13, 198)	(14, 176)	(15, 164)	(16, 119)	(17, 112)	(18, 95)	(19, 81)	(20, 87)	(21, 84)	(22, 70)	(23, 52)	(24, 77)	(25, 47)	(26, 42)	(27, 51)	(28, 43)	(29, 34)	(30, 46)	(31, 38)	(32, 46)	(33, 43)	(34, 24)	(35, 30)	(36, 34)	(37, 29)	(38, 23)	(39, 33)	(40, 28)	(41, 26)	(42, 29)	(43, 31)	(44, 17)	(45, 15)	(46, 21)	(47, 24)	(48, 25)	(49, 17)	(50, 20)	(51, 17)	(52, 19)	(53, 18)	(54, 15)	(55, 13)	(56, 13)	(57, 11)	(58, 22)	(59, 13)	(60, 400)
220597_MCC_LowSR.mutect2.filtered	(-60, 78)	(-59, 1)	(-58, 1)	(-57, 3)	(-54, 1)	(-53, 1)	(-52, 2)	(-50, 2)	(-49, 2)	(-48, 5)	(-47, 1)	(-46, 1)	(-45, 4)	(-44, 2)	(-43, 4)	(-42, 9)	(-41, 4)	(-39, 2)	(-38, 4)	(-37, 3)	(-36, 6)	(-35, 3)	(-34, 7)	(-33, 7)	(-32, 11)	(-31, 3)	(-30, 17)	(-29, 7)	(-28, 6)	(-27, 17)	(-26, 11)	(-25, 11)	(-24, 18)	(-23, 11)	(-22, 13)	(-21, 29)	(-20, 34)	(-19, 36)	(-18, 42)	(-17, 46)	(-16, 60)	(-15, 72)	(-14, 84)	(-13, 102)	(-12, 162)	(-11, 141)	(-10, 197)	(-9, 283)	(-8, 415)	(-7, 547)	(-6, 935)	(-5, 1320)	(-4, 2596)	(-3, 4012)	(-2, 7545)	(-1, 8867)	(0, None)	(1, 7883)	(2, 6995)	(3, 3541)	(4, 2486)	(5, 1234)	(6, 859)	(7, 477)	(8, 354)	(9, 278)	(10, 188)	(11, 156)	(12, 151)	(13, 129)	(14, 104)	(15, 79)	(16, 85)	(17, 65)	(18, 81)	(19, 56)	(20, 62)	(21, 51)	(22, 38)	(23, 33)	(24, 64)	(25, 26)	(26, 39)	(27, 29)	(28, 27)	(29, 31)	(30, 36)	(31, 29)	(32, 34)	(33, 30)	(34, 15)	(35, 8)	(36, 26)	(37, 19)	(38, 26)	(39, 13)	(40, 14)	(41, 19)	(42, 15)	(43, 13)	(44, 14)	(45, 13)	(46, 14)	(47, 19)	(48, 18)	(49, 12)	(50, 12)	(51, 16)	(52, 13)	(53, 7)	(54, 9)	(55, 8)	(56, 5)	(57, 10)	(58, 12)	(59, 9)	(60, 204)				
220713_RB6_LowSR.mutect2.filtered	(-60, 114)	(-59, 1)	(-58, 2)	(-55, 2)	(-53, 3)	(-52, 5)	(-50, 1)	(-49, 3)	(-48, 8)	(-47, 4)	(-46, 1)	(-45, 5)	(-43, 5)	(-42, 7)	(-41, 4)	(-40, 2)	(-39, 2)	(-38, 3)	(-37, 5)	(-36, 10)	(-35, 3)	(-34, 4)	(-33, 7)	(-32, 9)	(-31, 9)	(-30, 18)	(-29, 9)	(-28, 10)	(-27, 23)	(-26, 16)	(-25, 15)	(-24, 28)	(-23, 19)	(-22, 32)	(-21, 42)	(-20, 47)	(-19, 52)	(-18, 67)	(-17, 66)	(-16, 86)	(-15, 127)	(-14, 129)	(-13, 156)	(-12, 237)	(-11, 243)	(-10, 351)	(-9, 496)	(-8, 665)	(-7, 961)	(-6, 1596)	(-5, 2265)	(-4, 4497)	(-3, 6655)	(-2, 12656)	(-1, 14419)	(0, None)	(1, 12673)	(2, 11758)	(3, 5775)	(4, 4122)	(5, 2075)	(6, 1340)	(7, 802)	(8, 593)	(9, 431)	(10, 282)	(11, 265)	(12, 256)	(13, 189)	(14, 156)	(15, 144)	(16, 117)	(17, 106)	(18, 92)	(19, 89)	(20, 80)	(21, 74)	(22, 64)	(23, 69)	(24, 64)	(25, 57)	(26, 54)	(27, 34)	(28, 59)	(29, 32)	(30, 44)	(31, 30)	(32, 39)	(33, 49)	(34, 24)	(35, 33)	(36, 33)	(37, 30)	(38, 27)	(39, 25)	(40, 31)	(41, 27)	(42, 29)	(43, 22)	(44, 14)	(45, 15)	(46, 24)	(47, 18)	(48, 16)	(49, 14)	(50, 22)	(51, 12)	(52, 13)	(53, 14)	(54, 26)	(55, 22)	(56, 13)	(57, 18)	(58, 10)	(59, 11)	(60, 360)					
220742_LUL_HighSR.mutect2.filtered	(-60, 116)	(-58, 2)	(-57, 4)	(-56, 1)	(-55, 2)	(-54, 1)	(-53, 1)	(-52, 2)	(-51, 1)	(-50, 3)	(-49, 4)	(-48, 5)	(-46, 2)	(-45, 7)	(-44, 1)	(-43, 4)	(-42, 8)	(-41, 8)	(-40, 4)	(-39, 4)	(-38, 11)	(-37, 4)	(-36, 3)	(-35, 6)	(-34, 5)	(-33, 7)	(-32, 9)	(-31, 10)	(-30, 23)	(-29, 10)	(-28, 7)	(-27, 18)	(-26, 23)	(-25, 19)	(-24, 27)	(-23, 23)	(-22, 29)	(-21, 45)	(-20, 48)	(-19, 45)	(-18, 56)	(-17, 70)	(-16, 96)	(-15, 109)	(-14, 145)	(-13, 173)	(-12, 229)	(-11, 236)	(-10, 327)	(-9, 505)	(-8, 666)	(-7, 983)	(-6, 1645)	(-5, 2354)	(-4, 4534)	(-3, 6668)	(-2, 12750)	(-1, 14243)	(0, None)	(1, 12783)	(2, 11983)	(3, 5859)	(4, 4154)	(5, 2164)	(6, 1352)	(7, 816)	(8, 607)	(9, 423)	(10, 320)	(11, 269)	(12, 240)	(13, 171)	(14, 151)	(15, 136)	(16, 132)	(17, 102)	(18, 92)	(19, 85)	(20, 86)	(21, 72)	(22, 58)	(23, 63)	(24, 59)	(25, 53)	(26, 52)	(27, 42)	(28, 61)	(29, 39)	(30, 45)	(31, 47)	(32, 43)	(33, 32)	(34, 30)	(35, 36)	(36, 37)	(37, 23)	(38, 25)	(39, 25)	(40, 19)	(41, 38)	(42, 27)	(43, 25)	(44, 14)	(45, 21)	(46, 22)	(47, 21)	(48, 29)	(49, 12)	(50, 17)	(51, 12)	(52, 13)	(53, 22)	(54, 11)	(55, 19)	(56, 16)	(57, 16)	(58, 12)	(59, 15)	(60, 387)		
220754_RB6_LowSR.mutect2.filtered	(-60, 154)	(-58, 1)	(-57, 4)	(-56, 2)	(-55, 2)	(-54, 1)	(-53, 1)	(-52, 4)	(-51, 3)	(-50, 2)	(-49, 3)	(-48, 10)	(-47, 2)	(-46, 5)	(-45, 8)	(-44, 4)	(-43, 4)	(-42, 9)	(-41, 7)	(-40, 2)	(-39, 4)	(-38, 6)	(-37, 7)	(-36, 11)	(-35, 9)	(-34, 9)	(-33, 14)	(-32, 19)	(-31, 13)	(-30, 27)	(-29, 16)	(-28, 12)	(-27, 34)	(-26, 25)	(-25, 22)	(-24, 46)	(-23, 32)	(-22, 47)	(-21, 54)	(-20, 80)	(-19, 75)	(-18, 99)	(-17, 111)	(-16, 146)	(-15, 197)	(-14, 210)	(-13, 239)	(-12, 395)	(-11, 369)	(-10, 524)	(-9, 832)	(-8, 1071)	(-7, 1508)	(-6, 2517)	(-5, 3572)	(-4, 6858)	(-3, 10206)	(-2, 18886)	(-1, 20843)	(0, None)	(1, 18736)	(2, 17792)	(3, 9029)	(4, 6217)	(5, 3219)	(6, 2083)	(7, 1273)	(8, 867)	(9, 649)	(10, 435)	(11, 351)	(12, 363)	(13, 273)	(14, 235)	(15, 188)	(16, 135)	(17, 149)	(18, 143)	(19, 122)	(20, 91)	(21, 117)	(22, 79)	(23, 80)	(24, 91)	(25, 70)	(26, 71)	(27, 70)	(28, 41)	(29, 49)	(30, 56)	(31, 42)	(32, 47)	(33, 49)	(34, 55)	(35, 38)	(36, 38)	(37, 40)	(38, 40)	(39, 41)	(40, 29)	(41, 26)	(42, 28)	(43, 30)	(44, 32)	(45, 23)	(46, 24)	(47, 23)	(48, 35)	(49, 19)	(50, 27)	(51, 18)	(52, 18)	(53, 21)	(54, 19)	(55, 20)	(56, 16)	(57, 25)	(58, 25)	(59, 24)	(60, 516)	
220884_LB6_HighSR.mutect2.filtered	(-60, 136)	(-59, 1)	(-58, 2)	(-57, 3)	(-55, 3)	(-54, 3)	(-53, 3)	(-52, 4)	(-51, 2)	(-50, 3)	(-49, 4)	(-48, 9)	(-47, 5)	(-46, 4)	(-45, 10)	(-44, 4)	(-43, 8)	(-42, 10)	(-41, 7)	(-40, 2)	(-39, 5)	(-38, 9)	(-37, 7)	(-36, 9)	(-35, 5)	(-34, 9)	(-33, 8)	(-32, 14)	(-31, 15)	(-30, 29)	(-29, 18)	(-28, 13)	(-27, 17)	(-26, 29)	(-25, 22)	(-24, 43)	(-23, 33)	(-22, 43)	(-21, 53)	(-20, 61)	(-19, 67)	(-18, 74)	(-17, 96)	(-16, 141)	(-15, 187)	(-14, 177)	(-13, 234)	(-12, 344)	(-11, 338)	(-10, 483)	(-9, 750)	(-8, 967)	(-7, 1364)	(-6, 2295)	(-5, 3364)	(-4, 6301)	(-3, 9445)	(-2, 17505)	(-1, 19138)	(0, None)	(1, 17333)	(2, 16656)	(3, 8272)	(4, 5876)	(5, 2949)	(6, 1911)	(7, 1157)	(8, 819)	(9, 591)	(10, 415)	(11, 352)	(12, 315)	(13, 238)	(14, 195)	(15, 175)	(16, 142)	(17, 142)	(18, 123)	(19, 101)	(20, 105)	(21, 100)	(22, 67)	(23, 82)	(24, 74)	(25, 60)	(26, 59)	(27, 64)	(28, 62)	(29, 53)	(30, 44)	(31, 49)	(32, 57)	(33, 39)	(34, 36)	(35, 39)	(36, 46)	(37, 24)	(38, 33)	(39, 44)	(40, 32)	(41, 39)	(42, 36)	(43, 28)	(44, 20)	(45, 34)	(46, 29)	(47, 23)	(48, 27)	(49, 18)	(50, 19)	(51, 23)	(52, 26)	(53, 14)	(54, 13)	(55, 18)	(56, 14)	(57, 20)	(58, 19)	(59, 18)	(60, 475)	
220884_LUL_HighSR.mutect2.filtered	(-60, 52)	(-59, 1)	(-58, 1)	(-57, 2)	(-55, 1)	(-54, 1)	(-49, 1)	(-48, 9)	(-47, 1)	(-46, 1)	(-45, 2)	(-44, 1)	(-42, 4)	(-41, 1)	(-40, 1)	(-39, 3)	(-38, 1)	(-37, 2)	(-36, 8)	(-35, 3)	(-34, 5)	(-33, 1)	(-32, 5)	(-31, 8)	(-30, 12)	(-29, 4)	(-28, 4)	(-27, 11)	(-26, 8)	(-25, 12)	(-24, 23)	(-23, 10)	(-22, 13)	(-21, 25)	(-20, 16)	(-19, 19)	(-18, 36)	(-17, 30)	(-16, 42)	(-15, 50)	(-14, 64)	(-13, 68)	(-12, 91)	(-11, 79)	(-10, 123)	(-9, 189)	(-8, 247)	(-7, 351)	(-6, 586)	(-5, 797)	(-4, 1544)	(-3, 2492)	(-2, 4736)	(-1, 5905)	(0, None)	(1, 5172)	(2, 4215)	(3, 2104)	(4, 1517)	(5, 752)	(6, 510)	(7, 329)	(8, 232)	(9, 193)	(10, 135)	(11, 106)	(12, 103)	(13, 72)	(14, 68)	(15, 56)	(16, 51)	(17, 33)	(18, 42)	(19, 36)	(20, 44)	(21, 35)	(22, 28)	(23, 27)	(24, 42)	(25, 15)	(26, 25)	(27, 29)	(28, 23)	(29, 21)	(30, 18)	(31, 12)	(32, 22)	(33, 18)	(34, 10)	(35, 20)	(36, 15)	(37, 16)	(38, 15)	(39, 9)	(40, 11)	(41, 9)	(42, 17)	(43, 11)	(44, 8)	(45, 9)	(46, 9)	(47, 9)	(48, 8)	(49, 3)	(50, 16)	(51, 6)	(52, 9)	(53, 2)	(54, 4)	(55, 7)	(56, 9)	(57, 10)	(58, 6)	(59, 4)	(60, 148)						
