Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	start_lost	inframe_insertion	inframe_deletion	missense_variant	protein_altering_variant	splice_donor_5th_base_variant	splice_region_variant	splice_donor_region_variant	splice_polypyrimidine_tract_variant	incomplete_terminal_codon_variant	start_retained_variant	stop_retained_variant	synonymous_variant	coding_sequence_variant	mature_miRNA_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	NMD_transcript_variant	non_coding_transcript_variant	upstream_gene_variant	downstream_gene_variant	regulatory_region_variant	intergenic_variant	regulatory_region_ablation
108159_LUL_LowSR.mutect2.filtered_VEP.ann	500.0	458.0	1024.0	28510.0	123.0	50.0	2866.0	3816.0	170380.0	681.0	1668.0	35338.0	6510.0	47001.0	2.0	12.0	366.0	634484.0	229.0	268.0	15096.0	37133.0	29777.0	447429.0	6237.0	140943.0	253186.0	261296.0	35056.0	216.0	nan
217788_LB89_LowSR.mutect2.filtered_VEP.ann	429.0	407.0	899.0	24370.0	113.0	44.0	2499.0	3263.0	154854.0	582.0	1461.0	31860.0	5877.0	42097.0	1.0	9.0	337.0	591260.0	173.0	227.0	12787.0	33240.0	27001.0	401968.0	5470.0	129809.0	230434.0	238531.0	30796.0	259.0	1.0
220514_LUL_HighSR.mutect2.filtered_VEP.ann	256.0	224.0	544.0	10156.0	62.0	27.0	1122.0	1399.0	82357.0	240.0	760.0	17158.0	3065.0	22429.0	2.0	7.0	185.0	345615.0	92.0	80.0	5004.0	19550.0	13586.0	212661.0	2818.0	70705.0	115871.0	123860.0	13699.0	147.0	1.0
220578_LUL_LowSR.mutect2.filtered_VEP.ann	344.0	301.0	644.0	16500.0	78.0	38.0	1776.0	2306.0	116440.0	344.0	1059.0	23470.0	4246.0	30473.0	1.0	11.0	230.0	471298.0	135.0	165.0	9707.0	25811.0	21247.0	300716.0	4017.0	100340.0	177640.0	180936.0	24520.0	225.0	1.0
220597_MCC_LowSR.mutect2.filtered_VEP.ann	191.0	203.0	416.0	9212.0	49.0	28.0	1113.0	1384.0	73809.0	225.0	671.0	14101.0	2583.0	17911.0	1.0	12.0	164.0	317896.0	86.0	109.0	6675.0	17528.0	13401.0	185886.0	2599.0	66798.0	115788.0	118569.0	16671.0	196.0	nan
220713_RB6_LowSR.mutect2.filtered_VEP.ann	289.0	302.0	668.0	14993.0	85.0	29.0	1592.0	2008.0	109414.0	313.0	1039.0	22818.0	4046.0	30080.0	2.0	8.0	248.0	445183.0	135.0	159.0	7085.0	25034.0	18586.0	286594.0	3808.0	93314.0	159097.0	167752.0	18960.0	193.0	nan
220742_LUL_HighSR.mutect2.filtered_VEP.ann	324.0	305.0	753.0	15455.0	85.0	24.0	1579.0	2053.0	111854.0	366.0	1062.0	23513.0	4204.0	30715.0	1.0	6.0	257.0	451347.0	126.0	124.0	6767.0	25287.0	19239.0	286760.0	3808.0	94024.0	155537.0	164507.0	17460.0	239.0	1.0
220754_RB6_LowSR.mutect2.filtered_VEP.ann	430.0	409.0	851.0	24248.0	105.0	46.0	2583.0	3333.0	153015.0	566.0	1428.0	31515.0	5931.0	41667.0	1.0	14.0	316.0	588063.0	173.0	250.0	13228.0	32409.0	26687.0	398749.0	5466.0	128731.0	226168.0	233144.0	31510.0	246.0	nan
220884_LB6_HighSR.mutect2.filtered_VEP.ann	387.0	372.0	835.0	22662.0	109.0	40.0	2407.0	3128.0	145976.0	524.0	1315.0	29511.0	5430.0	38979.0	2.0	12.0	319.0	565072.0	161.0	194.0	13269.0	31211.0	25111.0	375895.0	5256.0	121468.0	218195.0	224133.0	30473.0	167.0	nan
220884_LUL_HighSR.mutect2.filtered_VEP.ann	128.0	119.0	249.0	4845.0	43.0	7.0	675.0	861.0	44561.0	118.0	384.0	8837.0	1580.0	11449.0	1.0	2.0	98.0	197901.0	51.0	36.0	4211.0	12279.0	8920.0	118399.0	1461.0	41978.0	72105.0	73939.0	11256.0	225.0	1.0
