Sample	splice_acceptor_variant	splice_donor_variant	stop_gained	frameshift_variant	stop_lost	start_lost	inframe_insertion	inframe_deletion	missense_variant	protein_altering_variant	splice_donor_5th_base_variant	splice_region_variant	splice_donor_region_variant	splice_polypyrimidine_tract_variant	incomplete_terminal_codon_variant	stop_retained_variant	synonymous_variant	coding_sequence_variant	mature_miRNA_variant	5_prime_UTR_variant	3_prime_UTR_variant	non_coding_transcript_exon_variant	intron_variant	upstream_gene_variant	downstream_gene_variant	regulatory_region_variant	intergenic_variant
108159_LUL_LowSR.mutect2.filtered_VEP.ann	1777.0	1080.0	2190.0	30757.0	736.0	224.0	3095.0	4085.0	190075.0	734.0	1649.0	36552.0	7089.0	28627.0	33.0	351.0	608090.0	21.0	148.0	17242.0	34567.0	31737.0	140869.0	922.0	241.0	6.0	201.0
217788_LB89_LowSR.mutect2.filtered_VEP.ann	1634.0	990.0	1963.0	26385.0	697.0	199.0	2698.0	3500.0	173268.0	638.0	1456.0	33097.0	6347.0	25655.0	36.0	324.0	566577.0	18.0	122.0	14772.0	30872.0	28127.0	125726.0	703.0	191.0	18.0	235.0
220514_LUL_HighSR.mutect2.filtered_VEP.ann	927.0	520.0	1141.0	11008.0	388.0	108.0	1205.0	1488.0	92788.0	266.0	746.0	18076.0	3400.0	13752.0	19.0	183.0	331489.0	6.0	37.0	5970.0	18536.0	13513.0	65423.0	328.0	154.0	6.0	137.0
220578_LUL_LowSR.mutect2.filtered_VEP.ann	1245.0	757.0	1485.0	17899.0	522.0	162.0	1911.0	2478.0	130762.0	381.0	1055.0	24611.0	4687.0	18561.0	24.0	238.0	452404.0	18.0	80.0	11317.0	24084.0	20194.0	91137.0	549.0	188.0	17.0	204.0
220597_MCC_LowSR.mutect2.filtered_VEP.ann	802.0	513.0	964.0	10018.0	348.0	114.0	1194.0	1471.0	83540.0	240.0	658.0	15045.0	2913.0	11063.0	17.0	164.0	305084.0	8.0	61.0	7691.0	16798.0	12025.0	54735.0	489.0	175.0	15.0	177.0
220713_RB6_LowSR.mutect2.filtered_VEP.ann	1138.0	745.0	1467.0	16312.0	483.0	155.0	1702.0	2146.0	123002.0	361.0	1046.0	23831.0	4484.0	18400.0	29.0	218.0	426760.0	15.0	78.0	8511.0	23493.0	19471.0	87250.0	453.0	196.0	15.0	170.0
220742_LUL_HighSR.mutect2.filtered_VEP.ann	1238.0	708.0	1590.0	16642.0	512.0	152.0	1699.0	2195.0	125571.0	389.0	1052.0	24457.0	4623.0	18784.0	27.0	241.0	432539.0	7.0	57.0	7970.0	24134.0	19730.0	88711.0	397.0	162.0	17.0	215.0
220754_RB6_LowSR.mutect2.filtered_VEP.ann	1579.0	1015.0	1887.0	26210.0	665.0	198.0	2784.0	3568.0	170747.0	621.0	1426.0	32811.0	6501.0	25454.0	37.0	305.0	563750.0	19.0	128.0	15241.0	30259.0	27320.0	124364.0	654.0	167.0	18.0	221.0
220884_LB6_HighSR.mutect2.filtered_VEP.ann	1538.0	932.0	1859.0	24515.0	663.0	191.0	2573.0	3341.0	163387.0	577.0	1310.0	30780.0	5960.0	23830.0	29.0	307.0	542114.0	15.0	99.0	15117.0	29227.0	25657.0	115574.0	732.0	159.0	17.0	146.0
220884_LUL_HighSR.mutect2.filtered_VEP.ann	490.0	321.0	579.0	5263.0	233.0	52.0	718.0	904.0	50782.0	131.0	406.0	9499.0	1791.0	7154.0	16.0	107.0	190118.0	2.0	11.0	4913.0	11644.0	7862.0	36752.0	272.0	154.0	8.0	214.0
