Sample	Chromosome X	Chromosome Y
108159_LUL_LowSR.recal	43.080000000000005	50.45999999999999
217788_LB89_LowSR.recal	36.61999999999999	43.36000000000001
220514_LUL_HighSR.recal	36.27	47.80000000000001
220578_LUL_LowSR.recal	39.99	43.650000000000006
220597_MCC_LowSR.recal	37.440000000000005	45.41000000000002
220713_RB6_LowSR.recal	38.589999999999996	27.17
220742_LUL_HighSR.recal	30.990000000000006	41.92000000000001
220754_RB6_LowSR.recal	43.889999999999986	54.26999999999999
220884_LB6_HighSR.recal	34.24999999999999	30.59
220884_LUL_HighSR.recal	42.87	56.6
