Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
108159_LUL_LowSR.recal	68534956.0	0.0	68534956.0	1.0	34267657.0	34267299.0	68317067.0	68099178.0	217889.0	67467222.0	68534956.0	12867728.0	2351733.0	0.0	0.0	177508.0	9933222279.0	4965546629.0	4967675650.0	9900533854.0	9474801453.0	0.0	1858742510.0	98052107.0	0.01034872	145.0	145.0	145.0	151.0	151.0	151.0	22.9	178.9	61.1	28186124.0	5669281.0	8155.0	186029.0	98.4	99.68207610726415	99.3641522145283	0.3179238927358471	98.44205926097041	100.0	18.77542315778243	3.431435777094539	0.0	65965334.0
217788_LB89_LowSR.recal	58385422.0	0.0	58385422.0	1.0	29192797.0	29192625.0	58177867.0	57970312.0	207555.0	57273640.0	58385422.0	9061022.0	1923168.0	0.0	0.0	147260.0	8477366536.0	4237720240.0	4239646296.0	8446181358.0	8132721494.0	0.0	1312086217.0	80390039.0	0.009884764	145.0	145.0	145.0	151.0	151.0	151.0	23.3	183.6	63.5	24197724.0	4578393.0	8550.0	200489.0	98.1	99.6445088638736	99.28901772774718	0.35549113612641187	98.0957883630609	100.0	15.51932261447044	3.2939181290836608	0.0	56254699.0
220514_LUL_HighSR.recal	60123780.0	0.0	60123780.0	1.0	30061964.0	30061816.0	60029844.0	59935908.0	93936.0	59169900.0	60123780.0	12556239.0	1697135.0	0.0	0.0	104059.0	8699883404.0	4348857576.0	4351025828.0	8685766099.0	8548777068.0	0.0	1815133686.0	61641842.0	0.007210603	145.0	145.0	145.0	151.0	151.0	151.0	27.1	184.8	59.8	25022096.0	4748812.0	7472.0	189574.0	98.4	99.84376231833727	99.68752463667454	0.1562376816627298	98.41347300519028	100.0	20.88398134648221	2.822735030964454	0.0	58332709.0
220578_LUL_LowSR.recal	64093206.0	0.0	64093206.0	1.0	32046676.0	32046530.0	63956506.0	63819806.0	136700.0	63285626.0	64093206.0	13493999.0	1801933.0	0.0	0.0	105735.0	9347770564.0	4672946786.0	4674823778.0	9327238341.0	9127029654.0	0.0	1963701549.0	71678671.0	0.00785345	146.0	146.0	146.0	151.0	151.0	151.0	25.9	191.6	64.0	27320319.0	4448040.0	6153.0	135391.0	98.7	99.78671686356273	99.57343372712546	0.21328313643726918	98.73999125585947	100.0	21.053711995620876	2.8114259099474603	0.0	62154573.0
220597_MCC_LowSR.recal	58211462.0	0.0	58211462.0	1.0	29105719.0	29105743.0	58122276.0	58033090.0	89186.0	57420814.0	58211462.0	9584405.0	1643607.0	0.0	0.0	85387.0	8481796187.0	4240041108.0	4241755079.0	8468401425.0	8357243542.0	0.0	1392193312.0	56032648.0	0.006704681	146.0	146.0	146.0	151.0	151.0	151.0	28.2	192.0	62.1	24783894.0	4033401.0	7322.0	191928.0	98.6	99.84678962366552	99.69357924733106	0.15321037633447515	98.64176577458234	100.0	16.46480722301735	2.823510943600764	0.0	56478669.0
220713_RB6_LowSR.recal	62400043.0	0.0	62400043.0	1.0	31200032.0	31200011.0	62268506.0	62136969.0	131537.0	61535386.0	62400043.0	13077545.0	1810603.0	0.0	0.0	111383.0	9084849008.0	4541582692.0	4543266316.0	9065077436.0	8882049043.0	0.0	1900571383.0	65768108.0	0.00740461	146.0	146.0	146.0	151.0	151.0	151.0	25.7	189.5	62.0	26405886.0	4462916.0	7361.0	192321.0	98.6	99.78920367090132	99.57840734180263	0.21079632909868348	98.61433268563613	100.0	20.95758972473785	2.9016053722911694	0.0	60457903.0
220742_LUL_HighSR.recal	50229553.0	0.0	50229553.0	1.0	25114847.0	25114706.0	50084514.0	49939475.0	145039.0	49278148.0	50229553.0	10232924.0	1490948.0	0.0	0.0	116717.0	7304985027.0	3651737163.0	3653247864.0	7283170095.0	7095438071.0	0.0	1486024407.0	58559756.0	0.008253156	145.0	145.0	145.0	151.0	151.0	151.0	24.8	187.4	63.0	21024540.0	3728294.0	7468.0	209435.0	98.1	99.7112476792298	99.4224953584596	0.28875232077020474	98.10588599106188	100.0	20.372317468164606	2.9682685012148124	0.0	48593566.0
220754_RB6_LowSR.recal	63898358.0	0.0	63898358.0	1.0	31949343.0	31949015.0	63725401.0	63552444.0	172957.0	62854864.0	63898358.0	7996741.0	2005107.0	0.0	0.0	136098.0	9255833565.0	4626939152.0	4628894413.0	9229868149.0	8922120801.0	0.0	1154307578.0	80957992.0	0.009073851	145.0	145.0	145.0	151.0	151.0	151.0	24.3	180.4	60.2	26370482.0	5222177.0	7659.0	175903.0	98.4	99.72932481301007	99.45864962602012	0.270675186989938	98.36694708180138	100.0	12.514783243725919	3.1379632634691492	0.0	61720294.0
220884_LB6_HighSR.recal	53838412.0	0.0	53838412.0	1.0	26919265.0	26919147.0	53670086.0	53501760.0	168326.0	53076762.0	53838412.0	10433978.0	1777313.0	0.0	0.0	123586.0	7817521023.0	3907892809.0	3909628214.0	7792251895.0	7517675047.0	0.0	1509877199.0	71866651.0	0.009559691	145.0	145.0	145.0	151.0	151.0	151.0	23.4	185.6	64.3	22471987.0	4143025.0	5669.0	130199.0	98.6	99.68734961945015	99.37469923890029	0.3126503805498572	98.58530374187113	100.0	19.380174140351688	3.301198779785704	0.0	51892773.0
220884_LUL_HighSR.recal	65798160.0	0.0	65798160.0	1.0	32899113.0	32899047.0	65737070.0	65675980.0	61090.0	64963812.0	65798160.0	9482663.0	1752451.0	0.0	0.0	98780.0	9567183761.0	4782535612.0	4784648149.0	9558017067.0	9472680675.0	0.0	1374893250.0	59033581.0	0.006231982	145.0	145.0	145.0	151.0	151.0	151.0	29.2	187.8	56.9	27842612.0	4735978.0	8430.0	250970.0	98.7	99.90715545845052	99.81431091690102	0.09284454154949014	98.73195846206033	100.0	14.411744948490963	2.6633738694212727	0.0	63984619.0
