Sample	Number_of_variants_before_filter	Number_of_known_variants (i.e. non-empty ID)	Number_of_known_variants (i.e. non-empty ID)_percent	Number_of_effects	Genome_total_length	Genome_effective_length	Change_rate	HIGH	HIGH_percent	LOW	LOW_percent	MODERATE	MODERATE_percent	MODIFIER	MODIFIER_percent	MISSENSE	MISSENSE_percent	NONSENSE	NONSENSE_percent	SILENT	SILENT_percent	Missense_Silent_ratio	3_prime_UTR_truncation	3_prime_UTR_truncation_percent	3_prime_UTR_variant	3_prime_UTR_variant_percent	5_prime_UTR_premature_start_codon_gain_variant	5_prime_UTR_premature_start_codon_gain_variant_percent	5_prime_UTR_variant	5_prime_UTR_variant_percent	bidirectional_gene_fusion	bidirectional_gene_fusion_percent	conservative_inframe_deletion	conservative_inframe_deletion_percent	conservative_inframe_insertion	conservative_inframe_insertion_percent	disruptive_inframe_deletion	disruptive_inframe_deletion_percent	disruptive_inframe_insertion	disruptive_inframe_insertion_percent	downstream_gene_variant	downstream_gene_variant_percent	exon_loss_variant	exon_loss_variant_percent	frameshift_variant	frameshift_variant_percent	gene_fusion	gene_fusion_percent	initiator_codon_variant	initiator_codon_variant_percent	intergenic_region	intergenic_region_percent	intragenic_variant	intragenic_variant_percent	intron_variant	intron_variant_percent	missense_variant	missense_variant_percent	non_coding_transcript_exon_variant	non_coding_transcript_exon_variant_percent	non_coding_transcript_variant	non_coding_transcript_variant_percent	splice_acceptor_variant	splice_acceptor_variant_percent	splice_donor_variant	splice_donor_variant_percent	splice_region_variant	splice_region_variant_percent	start_lost	start_lost_percent	start_retained_variant	start_retained_variant_percent	stop_gained	stop_gained_percent	stop_lost	stop_lost_percent	stop_retained_variant	stop_retained_variant_percent	synonymous_variant	synonymous_variant_percent	transcript_ablation	transcript_ablation_percent	upstream_gene_variant	upstream_gene_variant_percent	DOWNSTREAM	DOWNSTREAM_percent	EXON	EXON_percent	GENE	GENE_percent	INTERGENIC	INTERGENIC_percent	INTRON	INTRON_percent	SPLICE_SITE_ACCEPTOR	SPLICE_SITE_ACCEPTOR_percent	SPLICE_SITE_DONOR	SPLICE_SITE_DONOR_percent	SPLICE_SITE_REGION	SPLICE_SITE_REGION_percent	TRANSCRIPT	TRANSCRIPT_percent	UPSTREAM	UPSTREAM_percent	UTR_3_PRIME	UTR_3_PRIME_percent	UTR_5_PRIME	UTR_5_PRIME_percent	Transitions	Transversions	Ts_Tv_ratio	Het	Hom	Missing	5_prime_UTR_truncation	5_prime_UTR_truncation_percent
108159_LUL_LowSR.mutect2.filtered_snpEff	1148111.0	0.0	0.0	1796020.0	63147197748.0	3088269832.0	2689.0	31560.0	1.757219	679623.0	37.840503	180929.0	10.073886	903908.0	50.328393	126201.0	16.637444	646.0	0.085164	631689.0	83.277392	0.199783	1.0	5.4e-05	37624.0	2.04139	1205.0	0.06538	13970.0	0.757979	2.0	0.000109	1347.0	0.073085	1656.0	0.089851	2625.0	0.142426	1894.0	0.102764	212767.0	11.544238	1.0	5.4e-05	29327.0	1.591214	17.0	0.000922	5.0	0.000271	2039.0	0.110631	70034.0	3.79988	375081.0	20.351014	173554.0	9.416633	36186.0	1.963367	38.0	0.002062	982.0	0.053281	485.0	0.026315	45023.0	2.442842	80.0	0.004341	30.0	0.001628	1228.0	0.066628	111.0	0.006023	324.0	0.017579	641467.0	34.804493	1.0	5.4e-05	193954.0	10.523489	212766.0	11.846527	883041.0	49.166546	19.0	0.001058	2039.0	0.113529	337523.0	18.792831	893.0	0.049721	366.0	0.020378	42561.0	2.36974	70073.0	3.901571	193954.0	10.7991	37617.0	2.094464	15168.0	0.844534	611205.0	296813.0	2.059226	1138512.0	4247.0	0.0		
217788_LB89_LowSR.mutect2.filtered_snpEff	1050632.0	0.0	0.0	1639557.0	63147197748.0	3088269832.0	2939.0	27061.0	1.650507	632048.0	38.549925	164165.0	10.012766	816283.0	49.786802	115037.0	16.333546	559.0	0.07937	588703.0	83.587084	0.195408	1.0	5.9e-05	33969.0	2.019722	1016.0	0.060409	11934.0	0.709569	4.0	0.000238	1140.0	0.067782	1395.0	0.082944	2254.0	0.134018	1676.0	0.099651	194791.0	11.581845	1.0	5.9e-05	25123.0	1.493758	5.0	0.000297	2.0	0.000119	1729.0	0.102803	63111.0	3.752441	336301.0	19.995719	157831.0	9.384285	33273.0	1.97834	34.0	0.002022	830.0	0.04935	430.0	0.025567	40530.0	2.409825	69.0	0.004103	24.0	0.001427	1088.0	0.06469	102.0	0.006065	304.0	0.018075	597752.0	35.541021			175146.0	10.413797	194789.0	11.880587	815847.0	49.76021	9.0	0.000549	1729.0	0.105455	302508.0	18.450594	760.0	0.046354	324.0	0.019761	38391.0	2.341547	63145.0	3.851345	175146.0	10.68252	33965.0	2.071596	12944.0	0.789482	566961.0	271998.0	2.084431	1042282.0	3637.0	0.0		
220514_LUL_HighSR.mutect2.filtered_snpEff	584721.0	0.0	0.0	891222.0	63147197748.0	3088269832.0	5281.0	11584.0	1.299788	367411.0	41.225531	86703.0	9.728552	425524.0	47.746128	62393.0	15.334911	389.0	0.095608	344087.0	84.569481	0.181329	1.0	0.000109	19889.0	2.176201	441.0	0.048253	4753.0	0.520061	2.0	0.000219	492.0	0.053833	607.0	0.066416	974.0	0.106572	735.0	0.080422	101241.0	11.07752	1.0	0.000109	10442.0	1.142536	1.0	0.000109	3.0	0.000328	960.0	0.105041	34450.0	3.769427	176742.0	19.338638	83979.0	9.188758	17067.0	1.867426	9.0	0.000985	445.0	0.048691	246.0	0.026917	21762.0	2.38114	33.0	0.003611	9.0	0.000985	634.0	0.069371	58.0	0.006346	157.0	0.017179	349256.0	38.214659			88543.0	9.688139	101241.0	11.359796	461031.0	51.730209	3.0	0.000337	960.0	0.107717	158718.0	17.809031	411.0	0.046116	190.0	0.021319	20586.0	2.309862	34459.0	3.866489	88543.0	9.935011	19888.0	2.231543	5192.0	0.582571	331710.0	150268.0	2.207456	579101.0	2067.0	0.0		
220578_LUL_LowSR.mutect2.filtered_snpEff	810673.0	0.0	0.0	1260768.0	63147197748.0	3088269832.0	3809.0	18378.0	1.457683	501517.0	39.77869	123168.0	9.769283	617705.0	48.994343	87163.0	15.652447	423.0	0.075961	469279.0	84.271592	0.185738			26177.0	2.026413	794.0	0.061465	9126.0	0.706462	1.0	7.7e-05	814.0	0.063013	981.0	0.075941	1598.0	0.123704	1134.0	0.087785	147055.0	11.383816			16949.0	1.312055	3.0	0.000232	3.0	0.000232	1446.0	0.111938	49156.0	3.805262	249263.0	19.295938	118725.0	9.190735	25480.0	1.972457	22.0	0.001703	638.0	0.049389	307.0	0.023765	29762.0	2.303935	59.0	0.004567	13.0	0.001006	750.0	0.058059	63.0	0.004877	228.0	0.01765	476325.0	36.873253			134918.0	10.444267	147054.0	11.663843	638606.0	50.652142	4.0	0.000317	1446.0	0.114692	224479.0	17.804941	584.0	0.046321	232.0	0.018401	28178.0	2.234987	49178.0	3.900638	134918.0	10.701255	26174.0	2.076036	9915.0	0.786425	449083.0	210501.0	2.133401	803793.0	2783.0	0.0		
220597_MCC_LowSR.mutect2.filtered_snpEff	528744.0	0.0	0.0	817362.0	63147197748.0	3088269832.0	5840.0	10370.0	1.268716	336493.0	41.168173	77892.0	9.529682	392607.0	48.033429	56125.0	15.051638	275.0	0.07375	316483.0	84.874612	0.17734			17434.0	2.085304	553.0	0.066145	6052.0	0.723888	1.0	0.00012	477.0	0.057055	611.0	0.073083	976.0	0.116741	717.0	0.085761	95255.0	11.39358	1.0	0.00012	9494.0	1.13559	2.0	0.000239	2.0	0.000239	1237.0	0.147959	32354.0	3.869906	151359.0	18.104256	75178.0	8.992143	16091.0	1.924666	13.0	0.001555	340.0	0.040668	203.0	0.024281	17950.0	2.147024	40.0	0.004784	14.0	0.001675	478.0	0.057174	36.0	0.004306	135.0	0.016148	321270.0	38.427541			87768.0	10.49805	95254.0	11.653833	422712.0	51.71662	3.0	0.000367	1237.0	0.151341	136493.0	16.69921	313.0	0.038294	161.0	0.019698	17018.0	2.082064	32367.0	3.959935	87768.0	10.737959	17433.0	2.132837	6603.0	0.807843	301094.0	138734.0	2.170297	524286.0	1740.0	0.0		
220713_RB6_LowSR.mutect2.filtered_snpEff	765679.0	0.0	0.0	1183324.0	63147197748.0	3088269832.0	4033.0	16849.0	1.42387	474261.0	40.07871	115471.0	9.75819	576743.0	48.739229	81952.0	15.591136	446.0	0.08485	443234.0	84.324014	0.184896			25418.0	2.094564	600.0	0.049443	6730.0	0.554584	2.0	0.000165	717.0	0.059084	883.0	0.072763	1375.0	0.113307	986.0	0.081251	137978.0	11.370045	1.0	8.2e-05	15454.0	1.273483	1.0	8.2e-05	3.0	0.000247	1202.0	0.099051	45850.0	3.778259	239814.0	19.761817	111589.0	9.195466	23246.0	1.915581	16.0	0.001318	587.0	0.048372	294.0	0.024227	28998.0	2.389573	41.0	0.003379	9.0	0.000742	805.0	0.066336	73.0	0.006016	218.0	0.017964	450018.0	37.083629			120613.0	9.939086	137977.0	11.66012	600880.0	50.778992	3.0	0.000254	1202.0	0.101578	215850.0	18.240989	536.0	0.045296	214.0	0.018085	27438.0	2.318723	45866.0	3.876031	120613.0	10.192728	25417.0	2.147932	7328.0	0.619272	426288.0	196621.0	2.16807	758796.0	2680.0	0.0	1.0	8.2e-05
220742_LUL_HighSR.mutect2.filtered_snpEff	777283.0	0.0	0.0	1188792.0	63147197748.0	3088269832.0	3973.0	17338.0	1.458455	481374.0	40.492702	117754.0	9.905349	572326.0	48.143494	83521.0	15.655618	475.0	0.089037	449493.0	84.255345	0.185812			25703.0	2.106979	623.0	0.05107	6453.0	0.528979	3.0	0.000246	728.0	0.059677	865.0	0.070908	1413.0	0.115829	1040.0	0.085253	135781.0	11.130521	1.0	8.2e-05	15850.0	1.299289	1.0	8.2e-05	3.0	0.000246	1094.0	0.08968	45992.0	3.770151	239346.0	19.620165	113814.0	9.329796	23779.0	1.949261	20.0	0.001639	604.0	0.049512	309.0	0.02533	29831.0	2.445368	41.0	0.003361	11.0	0.000902	869.0	0.071235	71.0	0.00582	213.0	0.01746	456397.0	37.412718			119042.0	9.758357	135779.0	11.421594	610469.0	51.352045	4.0	0.000336	1094.0	0.092026	214620.0	18.053621	552.0	0.046434	237.0	0.019936	28212.0	2.373165	46012.0	3.870484	119042.0	10.013695	25700.0	2.161858	7071.0	0.594805	433577.0	199041.0	2.17833	770829.0	2624.0	0.0	1.0	8.2e-05
220754_RB6_LowSR.mutect2.filtered_snpEff	1042455.0	0.0	0.0	1619944.0	63147197748.0	3088269832.0	2962.0	26838.0	1.656724	628415.0	38.79239	162273.0	10.017198	802418.0	49.533688	113889.0	16.27353	547.0	0.07816	585406.0	83.648309	0.194547	1.0	6e-05	32920.0	1.980955	1048.0	0.063063	12298.0	0.74003	7.0	0.000421	1168.0	0.070284	1450.0	0.087253	2295.0	0.138101	1713.0	0.103079	189740.0	11.417568	1.0	6e-05	24916.0	1.499316	16.0	0.000963	4.0	0.000241	1710.0	0.102899	63045.0	3.793721	332120.0	19.985257	155776.0	9.373791	32061.0	1.929265	31.0	0.001865	822.0	0.049464	419.0	0.025213	40172.0	2.417342	62.0	0.003731	28.0	0.001685	1053.0	0.063364	96.0	0.005777	293.0	0.017631	594378.0	35.766582			172182.0	10.361019	189740.0	11.712751	809211.0	49.953023	23.0	0.00142	1710.0	0.105559	298641.0	18.435267	751.0	0.04636	320.0	0.019754	38042.0	2.348353	63076.0	3.893715	172182.0	10.628886	32914.0	2.031799	13334.0	0.823115	562725.0	270349.0	2.081476	1033859.0	3755.0	0.0		
220884_LB6_HighSR.mutect2.filtered_snpEff	994589.0	0.0	0.0	1548116.0	63147197748.0	3088269832.0	3105.0	25085.0	1.620357	602922.0	38.945531	154878.0	10.004289	765231.0	49.429823	108652.0	16.17565	541.0	0.080542	562508.0	83.743809	0.193156			31903.0	2.010023	1075.0	0.06773	12517.0	0.788623	2.0	0.000126	1093.0	0.068864	1342.0	0.084552	2151.0	0.135522	1578.0	0.099421	181440.0	11.43148			23260.0	1.465477	6.0	0.000378	3.0	0.000189	1653.0	0.104146	60315.0	3.800098	312082.0	19.662474	148843.0	9.377733	30609.0	1.928495	28.0	0.001764	779.0	0.04908	383.0	0.024131	37468.0	2.360641	59.0	0.003717	20.0	0.00126	1012.0	0.06376	101.0	0.006363	287.0	0.018082	571108.0	35.982198	1.0	6.3e-05	166078.0	10.46361	181439.0	11.719987	775791.0	50.111943	8.0	0.000517	1653.0	0.106775	280860.0	18.142051	717.0	0.046314	291.0	0.018797	35451.0	2.289945	60344.0	3.897899	166078.0	10.727749	31900.0	2.060569	13584.0	0.877454	540304.0	258547.0	2.089771	987056.0	3316.0	0.0		
220884_LUL_HighSR.mutect2.filtered_snpEff	332701.0	0.0	0.0	514270.0	63147197748.0	3088269832.0	9282.0	5583.0	1.085617	209393.0	40.71655	47125.0	9.163474	252169.0	49.034359	34240.0	14.798168	183.0	0.079091	196957.0	85.122742	0.173845			11991.0	2.27964	349.0	0.066349	3953.0	0.751515			279.0	0.053041	362.0	0.068821	612.0	0.116349	425.0	0.080798	59841.0	11.376529			5013.0	0.953035	1.0	0.00019	1.0	0.00019	951.0	0.180797	21754.0	4.13571	97898.0	18.611646	45481.0	8.646512	10453.0	1.987247	4.0	0.00076	225.0	0.042775	129.0	0.024525	11309.0	2.149984	13.0	0.002471	3.0	0.00057	284.0	0.053992	30.0	0.005703	90.0	0.01711	199775.0	37.979749			54778.0	10.413989	59841.0	11.636106	261118.0	50.774496	1.0	0.000194	951.0	0.184922	88526.0	17.213915	207.0	0.040251	105.0	0.020417	10693.0	2.079258	21758.0	4.230851	54778.0	10.651603	11990.0	2.33146	4302.0	0.836526	191173.0	86350.0	2.213932	328621.0	1385.0	0.0		
