Module	Section	Sample Name	Source
Samtools Flagstat	stats	108159_LUL_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/31/108159_LUL_LowSR.recal.cram.stats
Samtools Flagstat	stats	217788_LB89_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/32/217788_LB89_LowSR.recal.cram.stats
Samtools Flagstat	stats	220514_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/25/220514_LUL_HighSR.recal.cram.stats
Samtools Flagstat	stats	220578_LUL_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/29/220578_LUL_LowSR.recal.cram.stats
Samtools Flagstat	stats	220597_MCC_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/30/220597_MCC_LowSR.recal.cram.stats
Samtools Flagstat	stats	220713_RB6_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/26/220713_RB6_LowSR.recal.cram.stats
Samtools Flagstat	stats	220742_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/27/220742_LUL_HighSR.recal.cram.stats
Samtools Flagstat	stats	220754_RB6_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/24/220754_RB6_LowSR.recal.cram.stats
Samtools Flagstat	stats	220884_LB6_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/23/220884_LB6_HighSR.recal.cram.stats
Samtools Flagstat	stats	220884_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/28/220884_LUL_HighSR.recal.cram.stats
Mosdepth	genome_results	108159_LUL_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/19/108159_LUL_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	217788_LB89_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/5/217788_LB89_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220514_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/9/220514_LUL_HighSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220578_LUL_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/12/220578_LUL_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220597_MCC_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/15/220597_MCC_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220713_RB6_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/8/220713_RB6_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220742_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/4/220742_LUL_HighSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220754_RB6_LowSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/14/220754_RB6_LowSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220884_LB6_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/17/220884_LB6_HighSR.recal.mosdepth.region.dist.txt
Mosdepth	genome_results	220884_LUL_HighSR.recal	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/21/220884_LUL_HighSR.recal.mosdepth.region.dist.txt
Bcftools	stats	108159_LUL_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/58/108159_LUL_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	217788_LB89_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/57/217788_LB89_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220514_LUL_HighSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/52/220514_LUL_HighSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220578_LUL_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/54/220578_LUL_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220597_MCC_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/51/220597_MCC_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220713_RB6_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/55/220713_RB6_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220742_LUL_HighSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/53/220742_LUL_HighSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220754_RB6_LowSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/59/220754_RB6_LowSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220884_LB6_HighSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/56/220884_LB6_HighSR.mutect2.filtered.bcftools_stats.txt
Bcftools	stats	220884_LUL_HighSR.mutect2.filtered	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/50/220884_LUL_HighSR.mutect2.filtered.bcftools_stats.txt
Vcftools	all_sections	TsTv by counts	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/80/220884_LUL_HighSR.mutect2.filtered.TsTv.count
Vcftools	all_sections	TsTv by quality	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/70/220884_LUL_HighSR.mutect2.filtered.TsTv.qual
SNPeff	all_sections	108159_LUL_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/48/108159_LUL_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	217788_LB89_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/46/217788_LB89_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220514_LUL_HighSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/36/220514_LUL_HighSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220578_LUL_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/40/220578_LUL_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220597_MCC_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/35/220597_MCC_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220713_RB6_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/42/220713_RB6_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220742_LUL_HighSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/38/220742_LUL_HighSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220754_RB6_LowSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/90/220754_RB6_LowSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220884_LB6_HighSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/44/220884_LB6_HighSR.mutect2.filtered_snpEff.csv
SNPeff	all_sections	220884_LUL_HighSR.mutect2.filtered_snpEff	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/33/220884_LUL_HighSR.mutect2.filtered_snpEff.csv
VEP	all_sections	108159_LUL_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/91/108159_LUL_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	217788_LB89_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/49/217788_LB89_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220514_LUL_HighSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/39/220514_LUL_HighSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220578_LUL_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/43/220578_LUL_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220597_MCC_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/37/220597_MCC_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220713_RB6_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/45/220713_RB6_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220742_LUL_HighSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/41/220742_LUL_HighSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220754_RB6_LowSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/92/220754_RB6_LowSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220884_LB6_HighSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/47/220884_LB6_HighSR.mutect2.filtered_VEP.ann.summary.html
VEP	all_sections	220884_LUL_HighSR.mutect2.filtered_VEP.ann	/scratch/alpine/aassante@xsede.org/nf_core_dir/work/18/abf47fc71094bb30aebaca59ffa3d4/34/220884_LUL_HighSR.mutect2.filtered_VEP.ann.summary.html
