Sample	00-10%	10-20%	20-30%	30-40%	40-50%	50-60%	60-70%	70-80%	80-90%	90-100%
108159_LUL_LowSR.mutect2.filtered_VEP.ann	69851.0	84786.0	86694.0	85110.0	85285.0	84419.0	86738.0	87414.0	88977.0	82649.0
217788_LB89_LowSR.mutect2.filtered_VEP.ann	63993.0	77805.0	80208.0	79118.0	79504.0	77823.0	80351.0	80603.0	82046.0	76421.0
220514_LUL_HighSR.mutect2.filtered_VEP.ann	34365.0	43361.0	46141.0	45136.0	44935.0	45241.0	45191.0	46219.0	47046.0	43900.0
220578_LUL_LowSR.mutect2.filtered_VEP.ann	51095.0	61432.0	63027.0	62048.0	61377.0	61326.0	61750.0	62960.0	64524.0	59896.0
220597_MCC_LowSR.mutect2.filtered_VEP.ann	34242.0	41109.0	41017.0	40573.0	40998.0	41676.0	40932.0	41755.0	42262.0	39579.0
220713_RB6_LowSR.mutect2.filtered_VEP.ann	44770.0	57414.0	60038.0	58293.0	59561.0	58273.0	58781.0	59691.0	61077.0	56409.0
220742_LUL_HighSR.mutect2.filtered_VEP.ann	44812.0	57840.0	59897.0	60460.0	59811.0	59705.0	60026.0	61178.0	62277.0	57492.0
220754_RB6_LowSR.mutect2.filtered_VEP.ann	64324.0	77709.0	79308.0	78498.0	78437.0	77161.0	79319.0	80336.0	81576.0	76142.0
220884_LB6_HighSR.mutect2.filtered_VEP.ann	62421.0	74954.0	76231.0	74689.0	75702.0	74660.0	75233.0	76738.0	78393.0	71737.0
220884_LUL_HighSR.mutect2.filtered_VEP.ann	21692.0	25186.0	25794.0	25037.0	25365.0	25573.0	25519.0	24878.0	25973.0	24270.0
