Sample	Total sequences	Mapped &amp; paired	Properly paired	Duplicated	QC Failed	Reads MQ0	Mapped bases (CIGAR)	Bases Trimmed	Duplicated bases	Diff chromosomes	Other orientation	Inward pairs	Outward pairs
108159_LUL_LowSR.recal	68.534956	68.099178	67.46722199999999	12.867728	0.0	2.351733	9474.801453	0.0	1858.7425099999998	0.186029	0.008154999999999999	28.186124	5.669281
217788_LB89_LowSR.recal	58.385422	57.970312	57.27364	9.061022	0.0	1.923168	8132.721493999999	0.0	1312.086217	0.200489	0.00855	24.197723999999997	4.578393
220514_LUL_HighSR.recal	60.12378	59.935908	59.1699	12.556239	0.0	1.6971349999999998	8548.777068	0.0	1815.133686	0.189574	0.0074719999999999995	25.022095999999998	4.748812
220578_LUL_LowSR.recal	64.093206	63.819806	63.285626	13.493998999999999	0.0	1.801933	9127.029654	0.0	1963.7015489999999	0.13539099999999998	0.006153	27.320318999999998	4.44804
220597_MCC_LowSR.recal	58.211462	58.033089999999994	57.420814	9.584405	0.0	1.6436069999999998	8357.243542	0.0	1392.1933119999999	0.191928	0.0073219999999999995	24.783894	4.033401
220713_RB6_LowSR.recal	62.400043	62.136969	61.535385999999995	13.077544999999999	0.0	1.810603	8882.049042999999	0.0	1900.571383	0.192321	0.0073609999999999995	26.405886	4.462916
220742_LUL_HighSR.recal	50.229552999999996	49.939474999999995	49.278147999999995	10.232923999999999	0.0	1.490948	7095.438071	0.0	1486.0244069999999	0.20943499999999998	0.007468	21.02454	3.728294
220754_RB6_LowSR.recal	63.898357999999995	63.552443999999994	62.854864	7.996740999999999	0.0	2.0051069999999998	8922.120801	0.0	1154.307578	0.175903	0.007659	26.370482	5.222176999999999
220884_LB6_HighSR.recal	53.838412	53.50176	53.076761999999995	10.433978	0.0	1.777313	7517.675047	0.0	1509.877199	0.13019899999999998	0.0056689999999999996	22.471987	4.143025
220884_LUL_HighSR.recal	65.79816	65.67598	64.96381199999999	9.482662999999999	0.0	1.752451	9472.680675	0.0	1374.8932499999999	0.25096999999999997	0.00843	27.842612	4.735977999999999
