Sample	Mapped (with MQ>0)	MQ0	Unmapped
108159_LUL_LowSR.recal	65965334.0	2351733.0	217889.0
217788_LB89_LowSR.recal	56254699.0	1923168.0	207555.0
220514_LUL_HighSR.recal	58332709.0	1697135.0	93936.0
220578_LUL_LowSR.recal	62154573.0	1801933.0	136700.0
220597_MCC_LowSR.recal	56478669.0	1643607.0	89186.0
220713_RB6_LowSR.recal	60457903.0	1810603.0	131537.0
220742_LUL_HighSR.recal	48593566.0	1490948.0	145039.0
220754_RB6_LowSR.recal	61720294.0	2005107.0	172957.0
220884_LB6_HighSR.recal	51892773.0	1777313.0	168326.0
220884_LUL_HighSR.recal	63984619.0	1752451.0	61090.0
