Sample	Synonymous Variant	Intron Variant	Downstream Gene Variant	Upstream Gene Variant	Missense Variant	Intragenic Variant	3 Prime UTR Variant	Splice Region Variant	Non Coding Transcript Exon Variant	Frameshift Variant	5 Prime UTR Variant	Intergenic Region	Disruptive Inframe Deletion	Disruptive Inframe Insertion	Conservative Inframe Insertion	5 Prime UTR Premature Start Codon Gain Variant	Stop Gained	Conservative Inframe Deletion	Splice Acceptor Variant	Splice Donor Variant	Stop Retained Variant	Stop Lost	Start Lost	Non Coding Transcript Variant	Start Retained Variant	Gene Fusion	Initiator Codon Variant
108159_LUL_LowSR.mutect2.filtered_snpEff	641467.0	375081.0	212767.0	193954.0	173554.0	70034.0	37624.0	45023.0	36186.0	29327.0	13970.0	2039.0	2625.0	1894.0	1656.0	1205.0	1228.0	1347.0	982.0	485.0	324.0	111.0	80.0	38.0	30.0	17.0	5.0
217788_LB89_LowSR.mutect2.filtered_snpEff	597752.0	336301.0	194791.0	175146.0	157831.0	63111.0	33969.0	40530.0	33273.0	25123.0	11934.0	1729.0	2254.0	1676.0	1395.0	1016.0	1088.0	1140.0	830.0	430.0	304.0	102.0	69.0	34.0	24.0	5.0	2.0
220514_LUL_HighSR.mutect2.filtered_snpEff	349256.0	176742.0	101241.0	88543.0	83979.0	34450.0	19889.0	21762.0	17067.0	10442.0	4753.0	960.0	974.0	735.0	607.0	441.0	634.0	492.0	445.0	246.0	157.0	58.0	33.0	9.0	9.0	1.0	3.0
220578_LUL_LowSR.mutect2.filtered_snpEff	476325.0	249263.0	147055.0	134918.0	118725.0	49156.0	26177.0	29762.0	25480.0	16949.0	9126.0	1446.0	1598.0	1134.0	981.0	794.0	750.0	814.0	638.0	307.0	228.0	63.0	59.0	22.0	13.0	3.0	3.0
220597_MCC_LowSR.mutect2.filtered_snpEff	321270.0	151359.0	95255.0	87768.0	75178.0	32354.0	17434.0	17950.0	16091.0	9494.0	6052.0	1237.0	976.0	717.0	611.0	553.0	478.0	477.0	340.0	203.0	135.0	36.0	40.0	13.0	14.0	2.0	2.0
220713_RB6_LowSR.mutect2.filtered_snpEff	450018.0	239814.0	137978.0	120613.0	111589.0	45850.0	25418.0	28998.0	23246.0	15454.0	6730.0	1202.0	1375.0	986.0	883.0	600.0	805.0	717.0	587.0	294.0	218.0	73.0	41.0	16.0	9.0	1.0	3.0
220742_LUL_HighSR.mutect2.filtered_snpEff	456397.0	239346.0	135781.0	119042.0	113814.0	45992.0	25703.0	29831.0	23779.0	15850.0	6453.0	1094.0	1413.0	1040.0	865.0	623.0	869.0	728.0	604.0	309.0	213.0	71.0	41.0	20.0	11.0	1.0	3.0
220754_RB6_LowSR.mutect2.filtered_snpEff	594378.0	332120.0	189740.0	172182.0	155776.0	63045.0	32920.0	40172.0	32061.0	24916.0	12298.0	1710.0	2295.0	1713.0	1450.0	1048.0	1053.0	1168.0	822.0	419.0	293.0	96.0	62.0	31.0	28.0	16.0	4.0
220884_LB6_HighSR.mutect2.filtered_snpEff	571108.0	312082.0	181440.0	166078.0	148843.0	60315.0	31903.0	37468.0	30609.0	23260.0	12517.0	1653.0	2151.0	1578.0	1342.0	1075.0	1012.0	1093.0	779.0	383.0	287.0	101.0	59.0	28.0	20.0	6.0	3.0
220884_LUL_HighSR.mutect2.filtered_snpEff	199775.0	97898.0	59841.0	54778.0	45481.0	21754.0	11991.0	11309.0	10453.0	5013.0	3953.0	951.0	612.0	425.0	362.0	349.0	284.0	279.0	225.0	129.0	90.0	30.0	13.0	4.0	3.0	1.0	1.0
