Sample	High	Moderate	Low	Modifier
108159_LUL_LowSR.mutect2.filtered_snpEff	31560.0	180929.0	679623.0	903908.0
217788_LB89_LowSR.mutect2.filtered_snpEff	27061.0	164165.0	632048.0	816283.0
220514_LUL_HighSR.mutect2.filtered_snpEff	11584.0	86703.0	367411.0	425524.0
220578_LUL_LowSR.mutect2.filtered_snpEff	18378.0	123168.0	501517.0	617705.0
220597_MCC_LowSR.mutect2.filtered_snpEff	10370.0	77892.0	336493.0	392607.0
220713_RB6_LowSR.mutect2.filtered_snpEff	16849.0	115471.0	474261.0	576743.0
220742_LUL_HighSR.mutect2.filtered_snpEff	17338.0	117754.0	481374.0	572326.0
220754_RB6_LowSR.mutect2.filtered_snpEff	26838.0	162273.0	628415.0	802418.0
220884_LB6_HighSR.mutect2.filtered_snpEff	25085.0	154878.0	602922.0	765231.0
220884_LUL_HighSR.mutect2.filtered_snpEff	5583.0	47125.0	209393.0	252169.0
