Sample	Gene	Splice Site Donor	Splice Site Acceptor	Intergenic	UTR 5 Prime	UTR 3 Prime	Splice Site Region	Transcript	Upstream	Downstream	Intron	Exon
108159_LUL_LowSR.mutect2.filtered_snpEff	19.0	366.0	893.0	2039.0	15168.0	37617.0	42561.0	70073.0	193954.0	212766.0	337523.0	883041.0
217788_LB89_LowSR.mutect2.filtered_snpEff	9.0	324.0	760.0	1729.0	12944.0	33965.0	38391.0	63145.0	175146.0	194789.0	302508.0	815847.0
220514_LUL_HighSR.mutect2.filtered_snpEff	3.0	190.0	411.0	960.0	5192.0	19888.0	20586.0	34459.0	88543.0	101241.0	158718.0	461031.0
220578_LUL_LowSR.mutect2.filtered_snpEff	4.0	232.0	584.0	1446.0	9915.0	26174.0	28178.0	49178.0	134918.0	147054.0	224479.0	638606.0
220597_MCC_LowSR.mutect2.filtered_snpEff	3.0	161.0	313.0	1237.0	6603.0	17433.0	17018.0	32367.0	87768.0	95254.0	136493.0	422712.0
220713_RB6_LowSR.mutect2.filtered_snpEff	3.0	214.0	536.0	1202.0	7328.0	25417.0	27438.0	45866.0	120613.0	137977.0	215850.0	600880.0
220742_LUL_HighSR.mutect2.filtered_snpEff	4.0	237.0	552.0	1094.0	7071.0	25700.0	28212.0	46012.0	119042.0	135779.0	214620.0	610469.0
220754_RB6_LowSR.mutect2.filtered_snpEff	23.0	320.0	751.0	1710.0	13334.0	32914.0	38042.0	63076.0	172182.0	189740.0	298641.0	809211.0
220884_LB6_HighSR.mutect2.filtered_snpEff	8.0	291.0	717.0	1653.0	13584.0	31900.0	35451.0	60344.0	166078.0	181439.0	280860.0	775791.0
220884_LUL_HighSR.mutect2.filtered_snpEff	1.0	105.0	207.0	951.0	4302.0	11990.0	10693.0	21758.0	54778.0	59841.0	88526.0	261118.0
