Sample	indel	sequence_alteration	insertion	deletion	substitution	SNV
108159_LUL_LowSR.mutect2.filtered_VEP.ann	714.0	816.0	73319.0	78433.0	80212.0	909604.0
217788_LB89_LowSR.mutect2.filtered_VEP.ann	569.0	817.0	64138.0	68004.0	72511.0	840209.0
220514_LUL_HighSR.mutect2.filtered_VEP.ann	235.0	945.0	29684.0	30802.0	37356.0	482592.0
220578_LUL_LowSR.mutect2.filtered_VEP.ann	389.0	890.0	44579.0	46944.0	53637.0	660531.0
220597_MCC_LowSR.mutect2.filtered_VEP.ann	193.0	722.0	25604.0	26310.0	33139.0	440354.0
220713_RB6_LowSR.mutect2.filtered_VEP.ann	318.0	979.0	41891.0	44150.0	50805.0	623788.0
220742_LUL_HighSR.mutect2.filtered_VEP.ann	332.0	846.0	42607.0	44592.0	51947.0	633495.0
220754_RB6_LowSR.mutect2.filtered_VEP.ann	593.0	817.0	63390.0	67591.0	71130.0	834428.0
220884_LB6_HighSR.mutect2.filtered_VEP.ann	534.0	681.0	58936.0	62435.0	68025.0	800038.0
220884_LUL_HighSR.mutect2.filtered_VEP.ann	139.0	831.0	15686.0	15990.0	19911.0	277839.0
