Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
108159_LUL_LowSR.recal	('chr1', 50.16999999999999)	('chr2', 59.80999999999999)	('chr3', 53.009999999999984)	('chr4', 56.549999999999976)	('chr5', 61.139999999999965)	('chr6', 56.499999999999986)	('chr7', 56.059999999999974)	('chr8', 55.27999999999997)	('chr9', 52.62)	('chr10', 57.469999999999985)	('chr11', 51.67999999999999)	('chr12', 54.89999999999999)	('chr13', 65.74999999999997)	('chr14', 53.339999999999975)	('chr15', 58.72999999999998)	('chr16', 47.50999999999999)	('chr17', 50.02000000000001)	('chr18', 66.36999999999999)	('chr19', 49.07)	('chr20', 47.779999999999994)	('chr21', 47.18)	('chr22', 47.81)	('chrX', 42.080000000000005)	('chrY', 49.45999999999999)
217788_LB89_LowSR.recal	('chr1', 43.45)	('chr2', 52.16999999999999)	('chr3', 46.31999999999999)	('chr4', 49.449999999999974)	('chr5', 53.399999999999984)	('chr6', 49.67)	('chr7', 48.550000000000004)	('chr8', 48.64999999999999)	('chr9', 45.57999999999999)	('chr10', 49.84999999999999)	('chr11', 44.67999999999999)	('chr12', 47.309999999999995)	('chr13', 57.869999999999976)	('chr14', 45.72999999999998)	('chr15', 51.19999999999999)	('chr16', 40.44999999999999)	('chr17', 42.910000000000004)	('chr18', 58.18999999999998)	('chr19', 41.29)	('chr20', 40.67999999999999)	('chr21', 40.36000000000001)	('chr22', 40.19999999999999)	('chrX', 35.61999999999999)	('chrY', 42.36000000000001)
220514_LUL_HighSR.recal	('chr1', 42.43999999999998)	('chr2', 56.14999999999998)	('chr3', 47.03999999999999)	('chr4', 55.67999999999998)	('chr5', 57.70999999999998)	('chr6', 51.12999999999998)	('chr7', 47.499999999999986)	('chr8', 47.90999999999998)	('chr9', 41.879999999999995)	('chr10', 52.77999999999997)	('chr11', 38.66999999999999)	('chr12', 48.07999999999999)	('chr13', 67.18999999999998)	('chr14', 44.29999999999999)	('chr15', 53.30999999999998)	('chr16', 28.709999999999997)	('chr17', 33.509999999999984)	('chr18', 65.42999999999999)	('chr19', 27.310000000000002)	('chr20', 32.57999999999999)	('chr21', 33.68000000000001)	('chr22', 28.57)	('chrX', 35.27)	('chrY', 46.80000000000001)
220578_LUL_LowSR.recal	('chr1', 47.44999999999999)	('chr2', 57.889999999999965)	('chr3', 50.43999999999998)	('chr4', 55.81999999999999)	('chr5', 59.179999999999986)	('chr6', 54.61999999999998)	('chr7', 53.03999999999997)	('chr8', 53.15999999999998)	('chr9', 49.400000000000006)	('chr10', 55.17999999999998)	('chr11', 47.789999999999985)	('chr12', 51.449999999999974)	('chr13', 66.10999999999996)	('chr14', 49.679999999999986)	('chr15', 57.049999999999976)	('chr16', 42.11000000000001)	('chr17', 44.39)	('chr18', 65.81000000000002)	('chr19', 42.88999999999999)	('chr20', 43.12999999999999)	('chr21', 43.899999999999984)	('chr22', 41.639999999999986)	('chrX', 38.99)	('chrY', 42.650000000000006)
220597_MCC_LowSR.recal	('chr1', 44.83)	('chr2', 53.10999999999998)	('chr3', 46.75999999999999)	('chr4', 50.44999999999998)	('chr5', 54.53999999999997)	('chr6', 50.20999999999999)	('chr7', 49.68999999999999)	('chr8', 49.48999999999999)	('chr9', 46.639999999999986)	('chr10', 51.06999999999999)	('chr11', 45.13999999999999)	('chr12', 48.10999999999999)	('chr13', 59.78999999999997)	('chr14', 46.38999999999999)	('chr15', 53.05999999999998)	('chr16', 41.30999999999999)	('chr17', 42.94999999999999)	('chr18', 59.859999999999985)	('chr19', 43.489999999999995)	('chr20', 41.31)	('chr21', 41.75000000000001)	('chr22', 41.129999999999995)	('chrX', 36.440000000000005)	('chrY', 44.41000000000002)
220713_RB6_LowSR.recal	('chr1', 44.889999999999986)	('chr2', 58.39999999999999)	('chr3', 49.399999999999984)	('chr4', 57.88999999999998)	('chr5', 59.99999999999997)	('chr6', 53.78999999999998)	('chr7', 50.39999999999997)	('chr8', 50.299999999999976)	('chr9', 44.56999999999999)	('chr10', 54.80999999999998)	('chr11', 41.97999999999999)	('chr12', 50.209999999999994)	('chr13', 69.46000000000002)	('chr14', 47.30999999999999)	('chr15', 56.069999999999986)	('chr16', 31.739999999999995)	('chr17', 36.67999999999999)	('chr18', 67.63999999999996)	('chr19', 30.769999999999996)	('chr20', 35.43999999999999)	('chr21', 37.150000000000006)	('chr22', 31.909999999999997)	('chrX', 37.589999999999996)	('chrY', 26.17)
220742_LUL_HighSR.recal	('chr1', 35.79999999999999)	('chr2', 47.66999999999998)	('chr3', 39.53999999999999)	('chr4', 46.29999999999999)	('chr5', 48.93999999999998)	('chr6', 43.24999999999999)	('chr7', 40.16999999999999)	('chr8', 40.11999999999998)	('chr9', 35.219999999999985)	('chr10', 44.92999999999998)	('chr11', 32.589999999999996)	('chr12', 40.679999999999986)	('chr13', 57.19999999999996)	('chr14', 37.519999999999996)	('chr15', 44.80999999999999)	('chr16', 24.179999999999996)	('chr17', 28.289999999999992)	('chr18', 55.83999999999998)	('chr19', 22.660000000000004)	('chr20', 27.549999999999994)	('chr21', 28.439999999999994)	('chr22', 23.850000000000005)	('chrX', 29.990000000000006)	('chrY', 40.92000000000001)
220754_RB6_LowSR.recal	('chr1', 51.39999999999999)	('chr2', 61.899999999999984)	('chr3', 54.83999999999998)	('chr4', 58.57999999999998)	('chr5', 63.26999999999997)	('chr6', 58.22999999999998)	('chr7', 57.48999999999998)	('chr8', 57.869999999999976)	('chr9', 53.639999999999986)	('chr10', 59.20999999999998)	('chr11', 52.34999999999998)	('chr12', 56.17999999999999)	('chr13', 69.05999999999995)	('chr14', 53.879999999999995)	('chr15', 60.72999999999998)	('chr16', 47.790000000000006)	('chr17', 50.379999999999995)	('chr18', 68.84999999999997)	('chr19', 48.67999999999999)	('chr20', 48.23999999999999)	('chr21', 47.68)	('chr22', 47.569999999999986)	('chrX', 42.889999999999986)	('chrY', 53.26999999999999)
220884_LB6_HighSR.recal	('chr1', 39.78999999999999)	('chr2', 46.849999999999994)	('chr3', 41.49999999999999)	('chr4', 45.32999999999999)	('chr5', 47.96999999999999)	('chr6', 44.519999999999996)	('chr7', 44.329999999999984)	('chr8', 44.74999999999998)	('chr9', 41.91)	('chr10', 45.169999999999995)	('chr11', 40.8)	('chr12', 43.019999999999996)	('chr13', 51.65999999999999)	('chr14', 42.17999999999999)	('chr15', 46.51)	('chr16', 38.559999999999995)	('chr17', 39.769999999999996)	('chr18', 51.9)	('chr19', 40.22)	('chr20', 38.22999999999999)	('chr21', 38.01000000000001)	('chr22', 38.080000000000005)	('chrX', 33.24999999999999)	('chrY', 29.59)
220884_LUL_HighSR.recal	('chr1', 51.789999999999985)	('chr2', 64.00999999999999)	('chr3', 55.06999999999999)	('chr4', 62.55000000000001)	('chr5', 66.05000000000003)	('chr6', 59.35999999999998)	('chr7', 58.09999999999998)	('chr8', 58.22)	('chr9', 53.01999999999999)	('chr10', 61.64)	('chr11', 51.179999999999986)	('chr12', 56.78999999999999)	('chr13', 75.86000000000008)	('chr14', 53.82999999999997)	('chr15', 64.00999999999999)	('chr16', 44.20999999999999)	('chr17', 47.27999999999998)	('chr18', 73.03)	('chr19', 45.74)	('chr20', 45.609999999999985)	('chr21', 46.87)	('chr22', 44.19)	('chrX', 41.87)	('chrY', 55.6)
