Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY
108159_LUL_LowSR.recal	50.16999999999999	59.80999999999999	53.009999999999984	56.549999999999976	61.139999999999965	56.499999999999986	56.059999999999974	55.27999999999997	52.62	57.469999999999985	51.67999999999999	54.89999999999999	65.74999999999997	53.339999999999975	58.72999999999998	47.50999999999999	50.02000000000001	66.36999999999999	49.07	47.779999999999994	47.18	47.81	42.080000000000005	49.45999999999999
217788_LB89_LowSR.recal	43.45	52.16999999999999	46.31999999999999	49.449999999999974	53.399999999999984	49.67	48.550000000000004	48.64999999999999	45.57999999999999	49.84999999999999	44.67999999999999	47.309999999999995	57.869999999999976	45.72999999999998	51.19999999999999	40.44999999999999	42.910000000000004	58.18999999999998	41.29	40.67999999999999	40.36000000000001	40.19999999999999	35.61999999999999	42.36000000000001
220514_LUL_HighSR.recal	42.43999999999998	56.14999999999998	47.03999999999999	55.67999999999998	57.70999999999998	51.12999999999998	47.499999999999986	47.90999999999998	41.879999999999995	52.77999999999997	38.66999999999999	48.07999999999999	67.18999999999998	44.29999999999999	53.30999999999998	28.709999999999997	33.509999999999984	65.42999999999999	27.310000000000002	32.57999999999999	33.68000000000001	28.57	35.27	46.80000000000001
220578_LUL_LowSR.recal	47.44999999999999	57.889999999999965	50.43999999999998	55.81999999999999	59.179999999999986	54.61999999999998	53.03999999999997	53.15999999999998	49.400000000000006	55.17999999999998	47.789999999999985	51.449999999999974	66.10999999999996	49.679999999999986	57.049999999999976	42.11000000000001	44.39	65.81000000000002	42.88999999999999	43.12999999999999	43.899999999999984	41.639999999999986	38.99	42.650000000000006
220597_MCC_LowSR.recal	44.83	53.10999999999998	46.75999999999999	50.44999999999998	54.53999999999997	50.20999999999999	49.68999999999999	49.48999999999999	46.639999999999986	51.06999999999999	45.13999999999999	48.10999999999999	59.78999999999997	46.38999999999999	53.05999999999998	41.30999999999999	42.94999999999999	59.859999999999985	43.489999999999995	41.31	41.75000000000001	41.129999999999995	36.440000000000005	44.41000000000002
220713_RB6_LowSR.recal	44.889999999999986	58.39999999999999	49.399999999999984	57.88999999999998	59.99999999999997	53.78999999999998	50.39999999999997	50.299999999999976	44.56999999999999	54.80999999999998	41.97999999999999	50.209999999999994	69.46000000000002	47.30999999999999	56.069999999999986	31.739999999999995	36.67999999999999	67.63999999999996	30.769999999999996	35.43999999999999	37.150000000000006	31.909999999999997	37.589999999999996	26.17
220742_LUL_HighSR.recal	35.79999999999999	47.66999999999998	39.53999999999999	46.29999999999999	48.93999999999998	43.24999999999999	40.16999999999999	40.11999999999998	35.219999999999985	44.92999999999998	32.589999999999996	40.679999999999986	57.19999999999996	37.519999999999996	44.80999999999999	24.179999999999996	28.289999999999992	55.83999999999998	22.660000000000004	27.549999999999994	28.439999999999994	23.850000000000005	29.990000000000006	40.92000000000001
220754_RB6_LowSR.recal	51.39999999999999	61.899999999999984	54.83999999999998	58.57999999999998	63.26999999999997	58.22999999999998	57.48999999999998	57.869999999999976	53.639999999999986	59.20999999999998	52.34999999999998	56.17999999999999	69.05999999999995	53.879999999999995	60.72999999999998	47.790000000000006	50.379999999999995	68.84999999999997	48.67999999999999	48.23999999999999	47.68	47.569999999999986	42.889999999999986	53.26999999999999
220884_LB6_HighSR.recal	39.78999999999999	46.849999999999994	41.49999999999999	45.32999999999999	47.96999999999999	44.519999999999996	44.329999999999984	44.74999999999998	41.91	45.169999999999995	40.8	43.019999999999996	51.65999999999999	42.17999999999999	46.51	38.559999999999995	39.769999999999996	51.9	40.22	38.22999999999999	38.01000000000001	38.080000000000005	33.24999999999999	29.59
220884_LUL_HighSR.recal	51.789999999999985	64.00999999999999	55.06999999999999	62.55000000000001	66.05000000000003	59.35999999999998	58.09999999999998	58.22	53.01999999999999	61.64	51.179999999999986	56.78999999999999	75.86000000000008	53.82999999999997	64.00999999999999	44.20999999999999	47.27999999999998	73.03	45.74	45.609999999999985	46.87	44.19	41.87	55.6
