Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chrX	chrY	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
108159_LUL_LowSR.mutect2.filtered_VEP.ann	112578.0	90416.0	74034.0	42294.0	55951.0	57576.0	54048.0	39344.0	46277.0	46397.0	654.0	45901.0	74262.0	65135.0	20042.0	40686.0	40990.0	43466.0	73716.0	18595.0	43414.0	27295.0	7838.0	22189.0
217788_LB89_LowSR.mutect2.filtered_VEP.ann	102574.0	83718.0	67188.0	39507.0	50582.0	52799.0	49641.0	35780.0	42120.0	42477.0	749.0	41891.0	67640.0	59860.0	18032.0	37011.0	37893.0	40236.0	67718.0	16956.0	39801.0	24496.0	7037.0	20542.0
220514_LUL_HighSR.mutect2.filtered_VEP.ann	59306.0	50670.0	35987.0	23865.0	27835.0	27989.0	27972.0	20444.0	24116.0	25605.0	421.0	23573.0	35595.0	32187.0	10420.0	20115.0	20424.0	21056.0	36686.0	9053.0	19409.0	13448.0	3880.0	11558.0
220578_LUL_LowSR.mutect2.filtered_VEP.ann	77734.0	65952.0	51707.0	29949.0	38910.0	40282.0	39520.0	28557.0	32993.0	30842.0	556.0	32481.0	53012.0	46386.0	13776.0	28516.0	29487.0	30022.0	53758.0	12615.0	30255.0	18282.0	5286.0	16092.0
220597_MCC_LowSR.mutect2.filtered_VEP.ann	50414.0	43350.0	33283.0	20687.0	25036.0	26629.0	26703.0	19299.0	20689.0	20467.0	324.0	21162.0	32543.0	31465.0	8477.0	18080.0	17833.0	19962.0	35691.0	8061.0	20230.0	11794.0	3461.0	10682.0
220713_RB6_LowSR.mutect2.filtered_VEP.ann	74245.0	61808.0	49101.0	29602.0	37084.0	38402.0	36175.0	27400.0	29986.0	33460.0	486.0	30219.0	48120.0	43183.0	13073.0	27163.0	28446.0	28750.0	48653.0	12271.0	27973.0	17098.0	4802.0	14431.0
220742_LUL_HighSR.mutect2.filtered_VEP.ann	79767.0	66427.0	48779.0	30068.0	36650.0	37837.0	37229.0	27518.0	31016.0	33695.0	518.0	31546.0	48941.0	43194.0	13930.0	27135.0	27776.0	27612.0	47739.0	12654.0	26522.0	18192.0	4865.0	14209.0
220754_RB6_LowSR.mutect2.filtered_VEP.ann	105618.0	84226.0	66346.0	40166.0	49586.0	51433.0	49640.0	35939.0	41683.0	42899.0	641.0	41602.0	65935.0	58316.0	18330.0	35926.0	37807.0	38477.0	66655.0	15956.0	38908.0	24861.0	6910.0	20089.0
220884_LB6_HighSR.mutect2.filtered_VEP.ann	98897.0	80678.0	64184.0	36985.0	48082.0	49848.0	47117.0	34555.0	38898.0	41500.0	501.0	40310.0	63328.0	55147.0	16789.0	35424.0	36047.0	36671.0	63551.0	15731.0	38073.0	22830.0	6467.0	19036.0
220884_LUL_HighSR.mutect2.filtered_VEP.ann	31496.0	27623.0	20713.0	12680.0	15907.0	16653.0	16328.0	12454.0	13000.0	12944.0	223.0	13207.0	21102.0	19596.0	5148.0	11886.0	11554.0	12730.0	22196.0	5249.0	12183.0	6955.0	1794.0	6775.0
